Year,SDG Series,Degree of urbanisation,Value
2020,Proportion of population using basic drinking water services [1.4.1],Urban,86.48133
2021,Proportion of population using basic drinking water services [1.4.1],Urban,86.41664
2022,Proportion of population using basic drinking water services [1.4.1],Urban,86.35188
2000,Proportion of population using basic sanitation services [1.4.1],,28.05317
2001,Proportion of population using basic sanitation services [1.4.1],,28.36561
2002,Proportion of population using basic sanitation services [1.4.1],,28.73359
2003,Proportion of population using basic sanitation services [1.4.1],,29.10331
2004,Proportion of population using basic sanitation services [1.4.1],,29.4748
2005,Proportion of population using basic sanitation services [1.4.1],,29.84805
2006,Proportion of population using basic sanitation services [1.4.1],,30.22314
2007,Proportion of population using basic sanitation services [1.4.1],,30.60012
2008,Proportion of population using basic sanitation services [1.4.1],,30.97903
2009,Proportion of population using basic sanitation services [1.4.1],,31.35986
2010,Proportion of population using basic sanitation services [1.4.1],,31.7427
2011,Proportion of population using basic sanitation services [1.4.1],,32.12776
2012,Proportion of population using basic sanitation services [1.4.1],,32.51508
2013,Proportion of population using basic sanitation services [1.4.1],,32.90477
2014,Proportion of population using basic sanitation services [1.4.1],,33.29685
2015,Proportion of population using basic sanitation services [1.4.1],,33.6914
2016,Proportion of population using basic sanitation services [1.4.1],,34.08849
2017,Proportion of population using basic sanitation services [1.4.1],,34.4882
2018,Proportion of population using basic sanitation services [1.4.1],,34.89064
2019,Proportion of population using basic sanitation services [1.4.1],,35.29579
2020,Proportion of population using basic sanitation services [1.4.1],,35.70382
2021,Proportion of population using basic sanitation services [1.4.1],,36.11476
2022,Proportion of population using basic sanitation services [1.4.1],,36.52872
2000,Proportion of population using basic sanitation services [1.4.1],Rural,27.56866
2001,Proportion of population using basic sanitation services [1.4.1],Rural,27.88939
2002,Proportion of population using basic sanitation services [1.4.1],Rural,28.23157
2003,Proportion of population using basic sanitation services [1.4.1],Rural,28.57424
2004,Proportion of population using basic sanitation services [1.4.1],Rural,28.9174
2005,Proportion of population using basic sanitation services [1.4.1],Rural,29.26105
2006,Proportion of population using basic sanitation services [1.4.1],Rural,29.60518
2007,Proportion of population using basic sanitation services [1.4.1],Rural,29.9498
2008,Proportion of population using basic sanitation services [1.4.1],Rural,30.29491
2009,Proportion of population using basic sanitation services [1.4.1],Rural,30.64051
2010,Proportion of population using basic sanitation services [1.4.1],Rural,30.9866
2011,Proportion of population using basic sanitation services [1.4.1],Rural,31.33317
2012,Proportion of population using basic sanitation services [1.4.1],Rural,31.68023
2013,Proportion of population using basic sanitation services [1.4.1],Rural,32.02778
2014,Proportion of population using basic sanitation services [1.4.1],Rural,32.37582
2015,Proportion of population using basic sanitation services [1.4.1],Rural,32.72435
2016,Proportion of population using basic sanitation services [1.4.1],Rural,33.07336
2017,Proportion of population using basic sanitation services [1.4.1],Rural,33.42286
2018,Proportion of population using basic sanitation services [1.4.1],Rural,33.77285
2019,Proportion of population using basic sanitation services [1.4.1],Rural,34.12333
2020,Proportion of population using basic sanitation services [1.4.1],Rural,34.47429
2021,Proportion of population using basic sanitation services [1.4.1],Rural,34.82574
2022,Proportion of population using basic sanitation services [1.4.1],Rural,35.17768
2000,Proportion of population using basic sanitation services [1.4.1],Urban,30.00435
2001,Proportion of population using basic sanitation services [1.4.1],Urban,30.24237
2002,Proportion of population using basic sanitation services [1.4.1],Urban,30.66965
2003,Proportion of population using basic sanitation services [1.4.1],Urban,31.09989
2004,Proportion of population using basic sanitation services [1.4.1],Urban,31.53309
2005,Proportion of population using basic sanitation services [1.4.1],Urban,31.96924
2006,Proportion of population using basic sanitation services [1.4.1],Urban,32.40835
2007,Proportion of population using basic sanitation services [1.4.1],Urban,32.85042
2008,Proportion of population using basic sanitation services [1.4.1],Urban,33.29544
2009,Proportion of population using basic sanitation services [1.4.1],Urban,33.74342
2010,Proportion of population using basic sanitation services [1.4.1],Urban,34.19435
2011,Proportion of population using basic sanitation services [1.4.1],Urban,34.64824
2012,Proportion of population using basic sanitation services [1.4.1],Urban,35.10508
2013,Proportion of population using basic sanitation services [1.4.1],Urban,35.56488
2014,Proportion of population using basic sanitation services [1.4.1],Urban,36.02764
2015,Proportion of population using basic sanitation services [1.4.1],Urban,36.49335
2016,Proportion of population using basic sanitation services [1.4.1],Urban,36.96202
2017,Proportion of population using basic sanitation services [1.4.1],Urban,37.43365
2018,Proportion of population using basic sanitation services [1.4.1],Urban,37.90823
2019,Proportion of population using basic sanitation services [1.4.1],Urban,38.38576
2020,Proportion of population using basic sanitation services [1.4.1],Urban,38.86626
2021,Proportion of population using basic sanitation services [1.4.1],Urban,39.34971
2022,Proportion of population using basic sanitation services [1.4.1],Urban,39.83611
