Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1840.1
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1875.2
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1218.8
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1210.6
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1208.9
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1213.3
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1237.9
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,1254.3
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,17031.8
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,16768.7
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,16474.6
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,16155.6
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,16067.9
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain green cover area (square kilometres) [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,16009.4
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.99
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2.1
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2.14
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2.31
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2.63
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2.85
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,9.8
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,10.29
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,11.4
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,12.26
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,12.49
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,12.64
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,66.78
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,66.41
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,65.57
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,64.92
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,64.45
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,64.13
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.83
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.84
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.88
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.91
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.93
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,95.13
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,95
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,94.93
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,94.72
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,94.31
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,94.04
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.51
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.5
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.49
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.46
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.44
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.43
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.99
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2.03
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.97
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.88
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.86
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.84
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.2
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.21
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.24
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.25
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.28
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1.31
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.84
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.84
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.86
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0.87
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,16.05
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,15.77
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,15.5
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,15.19
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,15.08
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,15
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Artificial surfaces,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Croplands,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Croplands,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Croplands,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Croplands,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Croplands,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Croplands,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Grassland,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Grassland,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Grassland,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Grassland,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Grassland,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Grassland,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Inland water bodies,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Inland water bodies,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Inland water bodies,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Inland water bodies,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Inland water bodies,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Inland water bodies,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: MGCI,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: MGCI,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: MGCI,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: MGCI,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: MGCI,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: MGCI,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Permanent snow and glaciers,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Permanent snow and glaciers,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2010,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Permanent snow and glaciers,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Permanent snow and glaciers,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2018,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Permanent snow and glaciers,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,Land Cover: Permanent snow and glaciers,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2000,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2005,M,N,NaN = Not relevant,NA,Mountain Green Cover Index [15.4.2],Custom code 01,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
