Year,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,COMMENT_OBS,Value
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Lower secondary education,,,37.26308
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Lower secondary education,,,62.98494
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Lower secondary education,,,78.72468
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Lower secondary education,,,90.36229
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Upper secondary education,,,12.0998
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Upper secondary education,,,20.83632
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Upper secondary education,,,30.00813
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 3,Upper secondary education,,,55.10072
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Primary education,,,71.63715
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Primary education,,,90.67276
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Primary education,,,94.43129
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Primary education,,,97.09714
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Lower secondary education,,,47.54901
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Lower secondary education,,,74.91334
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Lower secondary education,,,86.73576
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Lower secondary education,,,93.50502
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Upper secondary education,,,27.29717
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Upper secondary education,,,33.75875
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Upper secondary education,,,47.76114
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 4,Upper secondary education,,,70.87253
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Primary education,,,78.64272
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Primary education,,,93.89525
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Primary education,,,96.76065
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Primary education,,,95.99506
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Lower secondary education,,,69.70127
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Lower secondary education,,,84.8485
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Lower secondary education,,,91.68333
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Lower secondary education,,,93.57852
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Upper secondary education,,,42.44449
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Upper secondary education,,,52.072
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Upper secondary education,,,65.9257
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,,Quintile 5 (richest),Upper secondary education,,,79.10293
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,,Primary education,,,56.1542
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,,Primary education,,,80.37366
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,Rural,,Primary education,,,57.38077
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Primary education,,,84.3605
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Primary education,,,82.19805
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Primary education,,,79.35527
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Primary education,,,93.06289
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,,Lower secondary education,,,34.37784
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,,Lower secondary education,,,58.93851
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,Rural,,Lower secondary education,,,42.63336
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Lower secondary education,,,69.27919
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Lower secondary education,,,73.08651
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Lower secondary education,,,72.30387
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Lower secondary education,,,83.31569
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,,Upper secondary education,,,16.8324
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,,Upper secondary education,,,19.20605
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,Rural,,Upper secondary education,,,16.43911
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Upper secondary education,,,25.15977
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Upper secondary education,,,45.72992
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Upper secondary education,,,41.49407
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,,Upper secondary education,,,45.17669
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Primary education,,,32.39841
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Primary education,,,55.2394
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Primary education,,,64.39322
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Primary education,,,84.2087
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Lower secondary education,,,12.62506
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Lower secondary education,,,32.56792
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Lower secondary education,,,41.65333
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Lower secondary education,,,64.73075
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Upper secondary education,,,1.94243
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Upper secondary education,,,2.65227
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Upper secondary education,,,6.11585
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 1 (poorest),Upper secondary education,,,19.5915
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Primary education,,,51.90604
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Primary education,,,81.1317
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Primary education,,,82.80466
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Primary education,,,95.46089
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Lower secondary education,,,30.84498
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Lower secondary education,,,53.26991
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Lower secondary education,,,63.09947
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Lower secondary education,,,87.53583
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Upper secondary education,,,5.80449
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Upper secondary education,,,9.64492
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Upper secondary education,,,17.35036
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 2,Upper secondary education,,,37.63288
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Primary education,,,62.6789
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Primary education,,,89.91129
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Primary education,,,92.08154
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Primary education,,,96.67346
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Lower secondary education,,,36.79879
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Lower secondary education,,,63.28865
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Lower secondary education,,,79.9354
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Lower secondary education,,,91.13861
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Upper secondary education,,,12.03638
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Upper secondary education,,,21.12228
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Upper secondary education,,,29.82922
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 3,Upper secondary education,,,57.99063
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Primary education,,,74.39435
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Primary education,,,91.66142
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Primary education,,,95.19285
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Primary education,,,99.44142
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Lower secondary education,,,47.79108
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Lower secondary education,,,77.89349
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Lower secondary education,,,87.04456
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Lower secondary education,,,93.40202
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Upper secondary education,,,28.91223
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Upper secondary education,,,37.32138
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Upper secondary education,,,46.47997
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 4,Upper secondary education,,,72.46736
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Primary education,,,73.33128
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Primary education,,,97.67208
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Primary education,,,97.49504
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Primary education,,,96.49683
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Lower secondary education,,,67.24764
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Lower secondary education,,,92.15762
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Lower secondary education,,,94.83353
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Lower secondary education,,,92.16786
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Upper secondary education,,,48.0565
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Upper secondary education,,,29.90977
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Upper secondary education,,,61.40414
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Rural,Quintile 5 (richest),Upper secondary education,,,72.94485
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,,Primary education,,,71.16354
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,,Primary education,,,89.91421
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,Urban,,Primary education,,,79.00182
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Primary education,,,93.12418
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Primary education,,,90.16363
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Primary education,,,90.53031
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Primary education,,,92.61596
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,,Lower secondary education,,,65.11391
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,,Lower secondary education,,,77.39091
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,Urban,,Lower secondary education,,,69.39132
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Lower secondary education,,,84.98324
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Lower secondary education,,,85.57998
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Lower secondary education,,,85.90051
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Lower secondary education,,,91.8931
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,,Upper secondary education,,,36.67688
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,,Upper secondary education,,,51.38657
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",Female,Urban,,Upper secondary education,,,40.55969
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Upper secondary education,,,54.25954
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Upper secondary education,,,71.07521
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Upper secondary education,,,70.67973
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,,Upper secondary education,,,72.14145
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,,73.86967
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Primary education,This data point is NOT APPLICABLE for the submitting nation.,,68.6414
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,50.70241
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Lower secondary education,This data point is NOT APPLICABLE for the submitting nation.,,55.25026
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,10.00264
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 1 (poorest),Upper secondary education,This data point is NOT APPLICABLE for the submitting nation.,,16.04578
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 2,Primary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 2,Primary education,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 2,Primary education,This data point is NOT APPLICABLE for the submitting nation.,,89.02718
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,Female,Urban,Quintile 2,Primary education,This data point is NOT APPLICABLE for the submitting nation.,,83.56286
