Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2022,38.88917,38.88917,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88917
2023,38.88917,38.88917,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88917
2024,38.88917,38.88917,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],38.88917,38.88917,38.88917
2000,40.67083,38.82666,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.67083
2001,40.69578,38.85161,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.69578
2002,40.69578,38.85161,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.69578
2003,40.69578,38.85161,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.69578
2004,40.69578,38.85161,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.69578
2005,40.7007,38.85653,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.7007
2006,40.72862,38.88445,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.72862
2007,40.72862,38.88445,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.72862
2008,40.72862,38.88445,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.72862
2009,40.7821,39.29009,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,40.7821
2010,41.86096,40.84219,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,41.86096
2011,42.00539,41.08016,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.00539
2012,42.00539,41.08016,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.00539
2013,42.14034,41.21512,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.14034
2014,42.14034,41.21512,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.14034
2015,42.14034,41.21512,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.14034
2016,42.14034,41.21512,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.14034
2017,42.88662,42.88662,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88662
2018,42.88662,42.88662,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88662
2019,42.88662,42.88662,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88662
2020,42.88775,42.88775,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88775
2021,42.88775,42.88775,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88775
2022,42.88775,42.88775,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88775
2023,42.88775,42.88775,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88775
2024,42.88775,42.88775,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],42.88775,42.88775,42.88775
