Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2009,C,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.61439
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.81521
2019,C,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.85401
2020,C,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.84172
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.90666
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.45894
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.37376
2009,C,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.40531
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.46369
2019,C,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.6434
2020,C,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.58707
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.62622
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.87171
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.18487
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.82153
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.14646
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.61142
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 1 (poorest),Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.18098
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.93011
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.12464
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.82482
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.10299
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.01663
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 2,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.21378
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.00464
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.13105
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.78005
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.08467
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.05349
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,This data point is NOT APPLICABLE for the submitting nation.,This data point is NOT APPLICABLE for the submitting nation.,0.0
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,0.97569
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 3,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,This data point is NOT APPLICABLE for the submitting nation.,1.23173
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.25022
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.07329
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.02395
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.04924
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.04026
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.16208
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.0088
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.99809
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.31748
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.46246
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.95537
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 4,Upper secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.03256
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 5 (richest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.91052
2008,C,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 5 (richest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.04896
2014,C,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 5 (richest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.00919
2022,C,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 5 (richest),Primary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,1.00584
2003,C,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,,,Quintile 5 (richest),Lower secondary education,,Country Data,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,0.95422
