Year,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2001,3,2201.4,2018.6,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2109.2
2002,3,2261.1,2081.3,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2170.5
2003,3,2310.6,2131.5,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2220.4
2004,3,2349.6,2173.5,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2260.8
2005,3,2387.6,2202.6,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2294.3
2006,3,2410.1,2218.8,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2313.6
2007,3,2418.1,2212.9,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2314.5
2008,3,2404.8,2196.9,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2299.7
2009,3,2375.9,2163.7,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2268.6
2010,3,2323.4,2110.3,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2215.5
2011,3,2248.5,2039.8,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2142.8
2012,3,2156.1,1960.5,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,2056.9
2013,3,2060.5,1872,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1964.8
2014,3,1962.2,1782.8,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1871.1
2015,3,1867.1,1692.6,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1778.4
2016,3,1777.7,1606,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1690.3
2017,3,1696.4,1521.1,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1607.1
2018,3,1623.4,1435.1,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1527.1
2019,3,1552.6,1354.4,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1451.0
2020,3,1493.6,1283.4,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1385.5
2021,3,1454,1222.7,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1334.5
2022,3,1435.8,1185.1,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1305.8
2023,3,1422.4,1156.6,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1284.1
2024,3,1424.4,1135.1,Children moderately or severely stunted (number) [2.2.1],,Number,Thousands,1424.4,1135.1,1273.3
2000,3,994.1,904.2,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,947.6
2001,3,1023,932.8,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,976.3
2002,3,1050.7,962.7,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1005.1
2003,3,1072.2,987.3,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1028.1
2004,3,1091.6,1004.6,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1046.4
2005,3,1106.9,1019.3,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1061.3
2006,3,1117.5,1024.6,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1069.1
2007,3,1117.6,1022.2,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1067.8
2008,3,1110.8,1010.6,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1058.3
2009,3,1093.6,993,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1040.7
2010,3,1067,963.9,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,1012.5
2011,3,1027,930,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,975.3
2012,3,984,887.9,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,932.6
2013,3,934.5,848,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,887.8
2014,3,890.3,803.1,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,843.1
2015,3,844.2,762,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,799.5
2016,3,802.1,722.1,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,758.4
2017,3,764,682.9,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,719.7
2018,3,730.4,643,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,682.7
2019,3,697,605.9,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,647.4
2020,3,670,572.6,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,616.9
2021,3,649.5,546.2,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,593.2
2022,3,639.9,529.1,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,579.5
2023,3,635.2,513.9,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,569.0
2024,3,637.7,502.1,Children moderately or severely stunted (number) [2.2.1],Female,Number,Thousands,637.7,502.1,563.6
2000,3,1149.2,1055.7,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1100.9
2001,3,1179.9,1089,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1132.9
2002,3,1212.1,1121.8,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1165.4
2003,3,1239.4,1148.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1192.2
2004,3,1261.7,1170.6,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1214.4
2005,3,1282.4,1187.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1233.0
2006,3,1297.7,1195.5,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1244.5
2007,3,1303,1195,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1246.7
2008,3,1297.7,1190.2,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1241.4
2009,3,1289.2,1172.5,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1227.9
2010,3,1261,1151.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1203.0
2011,3,1228.7,1113.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1167.4
2012,3,1179.5,1076.8,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1124.4
2013,3,1130.7,1031.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1077.0
2014,3,1080.7,983.6,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,1028.0
2015,3,1030.7,935.6,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,978.9
2016,3,984.3,888.2,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,931.9
2017,3,939.6,843.9,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,887.3
2018,3,900.5,797.6,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,844.4
2019,3,861.5,755.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,803.7
2020,3,831.2,716.3,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,768.6
2021,3,809.5,684.4,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,741.4
2022,3,799.8,664.8,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,726.3
2023,3,793.4,649.7,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,715.2
2024,3,794.3,639.1,Children moderately or severely stunted (number) [2.2.1],Male,Number,Thousands,794.3,639.1,709.7
