Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Value
2018,A,3,CA,3-year average of the period 2017-2019. For years when official national data are not available the values are integrated with FAO data or estimates.,12186.6,11153.4,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,11670
2019,A,3,CA,3-year average of the period 2018-2020. For years when official national data are not available the values are integrated with FAO data or estimates.,13217.4,12163.2,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,12690.3
2020,A,3,CA,3-year average of the period 2019-2021. For years when official national data are not available the values are integrated with FAO data or estimates.,14088.9,13013.7,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,13551.3
2021,A,3,CA,3-year average of the period 2020-2022. For years when official national data are not available the values are integrated with FAO data or estimates.,15388.4,14292,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,14840.2
2022,A,3,CA,3-year average of the period 2021-2023. For years when official national data are not available the values are integrated with FAO data or estimates.,15707,14589.1,National Entity,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,15148.1
2023,O,3,_X,NaN = A figure was not provided,NaN,NaN,NA,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,NaN
2015,E,3,G,3-year average of the period 2014-2016.,2406.2,2133.3,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,2269.7
2016,E,3,G,3-year average of the period 2015-2017.,2926.1,2644.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,2785.4
2017,E,3,G,3-year average of the period 2016-2018.,3618.7,3328.8,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3473.8
2018,E,3,G,3-year average of the period 2017-2019.,4015.5,3716.9,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,3866.2
2019,E,3,G,3-year average of the period 2018-2020.,4398.2,4090.6,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,4244.4
2020,E,3,G,3-year average of the period 2019-2021.,4733.8,4417.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,4575.4
2021,E,3,G,3-year average of the period 2020-2022.,5092.6,4761,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,4926.8
2022,E,3,G,3-year average of the period 2021-2023.,5144.5,4806.6,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,4975.6
2023,O,3,_X,NaN = A figure was not provided,NaN,NaN,NA,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,NaN
2015,E,3,G,3-year average of the period 2014-2016.,1993.5,1700.1,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1846.8
2016,E,3,G,3-year average of the period 2015-2017.,2415.9,2113.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2264.8
2017,E,3,G,3-year average of the period 2016-2018.,2978.8,2667.5,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2823.1
2018,E,3,G,3-year average of the period 2017-2019.,3300.1,2979.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,3139.9
2019,E,3,G,3-year average of the period 2018-2020.,3609.4,3279.7,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,3444.6
2020,E,3,G,3-year average of the period 2019-2021.,3879.8,3540.6,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,3710.2
2021,E,3,G,3-year average of the period 2020-2022.,4401.1,4057.2,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,4229.2
2022,E,3,G,3-year average of the period 2021-2023.,4631.1,4274,Food and Agriculture Organization of the United Nations (FAO),Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,4452.6
2023,O,3,_X,NaN = A figure was not provided,NaN,NaN,NA,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,NaN
