Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2015,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,14.19
2016,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,15.23
2017,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,16.29
2018,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,16.27
2019,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,16.56
2020,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,15.7
2021,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,17.44
2022,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,17.76
2000,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.36
2001,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.49
2002,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.66
2003,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.41
2004,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.56
2005,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.71
2006,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.05
2007,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.9
2008,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.98
2009,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.8
2010,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.11
2011,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,2.5
2012,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.71
2013,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,1.7
