Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Value
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6689.43604
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6207.8291
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6681.15381
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5810.49219
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5838.49609
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5192.40283
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6950.41309
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6644.28906
2023,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6746.95898
2024,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow minimum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5868.60107
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-8.60704
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-6.8196
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-3.1114
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-0.15276
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-10.05941
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-18.59276
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-13.5363
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-14.75407
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-12.16918
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.73594
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7.62288
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,4.00531
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3.73661
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,1.10679
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,5.68668
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,19.57695
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,31.17809
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,26.35553
2023,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,20.97619
2024,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Change in maximum river flow (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,10.33301
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,100031.6016
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,101988
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,106046.7031
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,109285
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,98441.95313
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,89102.00781
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,94636.42188
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,93303.54688
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,96132.75781
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,110257.7031
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,117795.6016
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,113836.1016
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,113542
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,110663.6016
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,115676.3984
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,130879.6016
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,143577.2969
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,138298.9063
2023,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,132411.0938
2024,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,River flow maximum (m3/s) [6.6.1],,cubic meters per second (m3/s),Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,120761.8984
2021,A,C,,Ramsar National Report COP14,Extent of inland wetlands (square kilometres) [6.6.1],,Square kilometers,Normal value,Country Data,,Ramsar National Report COP14,26416.90
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.1104
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.61913
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.17326
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.05022
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.5563
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-2.07049
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.88349
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.20539
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-0.8474
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove total area change (%) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,-1.02008
2000,A,E,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,549.90448
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,543.79832
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,541.00081
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,543.45267
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,544.12925
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,541.3463
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,538.51877
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,539.5471
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,543.276
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,545.2446
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,Represent 1996 proxy,Global Surface Water Explorer extraction for UN Environment Programme,544.29503
2017,A,C,,Environment Live,Nationally derived quantity of groundwater (millions of cubic metres per annum) [6.6.1],,Million of cubic metres per annum,Normal value,Country Data,,Environment Live,NaN
2017,A,C,,Environment Live,Nationally derived quantity of rivers (million of cubic metres per annum) [6.6.1],,Million of cubic metres per annum,Normal value,Country Data,,Environment Live,NaN
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Wetlands area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,4348.9564
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Wetlands area (% of total land area) [6.6.1],,Percent,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,0.74
