Year,OBS_STATUS,COMMENT_OBS,SOURCE_DETAIL,Sex,Occupation,Observation status,Observation-level footnotes,Source details,Value
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,63.13
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,325.62
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,32.14
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,63.8
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,14.84
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,32.56
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,38.08
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,51.98
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,47.98
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,61.31
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,22.75
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Male,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,30.99
2005,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Male,Not elsewhere classified,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,10.08
