Year,SDG Series,Type of product,Value
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,34.63093
2023,"Worldwide weighted tariff-average, preferential status [17.10.1]",Clothing,24.70643
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.04518
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.42899
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,6.7809
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.0589
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.93808
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.94
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,6.43167
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,7.76187
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,7.67386
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.62552
2023,"Worldwide weighted tariff-average, preferential status [17.10.1]",Industrial products,5.0795
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",Oil,0.0
2005,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,17.26918
2010,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,15.51753
2015,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,16.04027
2016,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,14.86014
2017,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,16.32852
2018,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,16.32852
2019,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,18.36013
2020,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,18.59406
2021,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,18.74485
2022,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,18.60426
2023,"Worldwide weighted tariff-average, preferential status [17.10.1]",Textiles,17.66148
