Year,SOURCE_DETAIL,SDG Series,Sex,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2002,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",8.0
2003,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2004,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2005,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2006,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2007,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",16.0
2008,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",15.0
2009,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2010,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2011,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2012,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2013,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",22.0
2014,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",67.0
2015,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",69.0
2016,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",69.0
2017,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",68.0
2018,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",76.0
2019,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",76.0
2020,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database",Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",76.0
2021,"Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",75.0
2022,"Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",75.0
2023,"Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",81.0
2024,"Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",81.0
2025,"Inter-Parliamentary Union (IPU), Parline Database",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Inter-Parliamentary Union (IPU), Parline Database","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",81.0
2021,"Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Inter-Parliamentary Union (IPU), Parline Database","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",347.0
2022,"Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Inter-Parliamentary Union (IPU), Parline Database","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",350.0
2023,"Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Inter-Parliamentary Union (IPU), Parline Database","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",348.0
2024,"Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Inter-Parliamentary Union (IPU), Parline Database","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",348.0
2025,"Inter-Parliamentary Union (IPU), Parline Database",Current number of seats in national parliaments [5.5.1],,Number,"Inter-Parliamentary Union (IPU), Parline Database","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",348.0
