Year,SDG Series,Type of product,Unit of measure,BASE_PER,Base period,Value
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01838
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01526
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01526
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01127
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00968
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.0172
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00853
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01154
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01113
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.01226
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00888
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00847
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00801
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00787
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00777
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,2015,2015,0.00736
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.05925
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.1045
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.11624
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.12033
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.09707
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.15634
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.03931
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.39543
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.4297
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.22344
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.16782
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.05259
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,2.02408
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.93317
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.8408
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.81516
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.74356
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.60966
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.62079
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.66908
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.86316
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.59585
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.53859
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Biomass (material flows),Kilograms per constant USD,2015,2015,1.43787
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.42708
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.45707
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.44922
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.43982
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.4261
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.47257
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.46692
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.43702
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.43853
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.44841
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.42783
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.39358
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.41293
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.40581
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.39209
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.39285
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.34883
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.34667
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.33824
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.32281
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.36774
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.33562
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.32677
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crops (material flows),Kilograms per constant USD,2015,2015,0.30896
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.34064
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.39679
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.37586
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.39151
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.36646
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.40246
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.40784
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.35987
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.32427
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.30553
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.35613
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.32265
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.35622
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.33342
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.29718
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.3115
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.25782
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.22593
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.26388
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.23881
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.26241
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.22146
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.21498
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Crop residues (material flows),Kilograms per constant USD,2015,2015,0.20388
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.87123
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.84787
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.88853
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.8946
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.92558
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.85665
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.7501
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,1.21064
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,1.27959
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,1.11056
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,1.04977
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,1.01717
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.95284
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.90217
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.872
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.84438
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.88168
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.79111
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.78536
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.88577
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,1.02252
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.84259
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.8153
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Kilograms per constant USD,2015,2015,0.76238
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.41419
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.39818
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.39899
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.39143
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.37573
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.42081
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.41044
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.38483
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.38429
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.35621
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.33146
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.31595
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.29932
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.28905
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.27673
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.26379
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.25299
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.24396
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.2314
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.21996
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.20884
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.19457
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.17997
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wood (material flows),Kilograms per constant USD,2015,2015,0.16115
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00612
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00459
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00364
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00296
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.0032
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00384
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00402
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00307
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00301
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00273
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00262
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00324
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00277
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00272
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00281
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00263
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00224
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00198
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00191
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00173
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00165
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00161
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00158
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2015,2015,0.00149
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.03074
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.03774
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.03975
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.03492
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.02192
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01811
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01585
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.05053
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01367
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.02552
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.03851
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.02182
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.04002
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.04402
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.00747
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.02674
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.02061
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.02392
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01988
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01906
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01684
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01621
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01628
2023,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2015,2015,0.01583
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00686
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00899
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01286
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00849
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01125
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00709
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00849
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00936
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00867
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.0114
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01095
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.0042
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.00247
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02203
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.0
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02232
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.02066
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01835
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01468
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01404
2020,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01413
2021,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.0137
2022,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2015,2015,0.01365
